timestamp_utc,send_currency,receive_currency,exchange_rate,interbank_rate
2026-09-01 18:11:13 UTC,USD,ARS,1596.0,1512.5
2026-09-01 18:11:13 UTC,GBP,ARS,2161.1436,2044.08
2026-09-01 18:11:13 UTC,CAD,ARS,1147.7886,1087.77
2026-09-01 23:32:20 UTC,EUR,ARS,1850.4024,1753.41
2026-09-01 23:32:20 UTC,USD,ARS,1596.0,1512.5
2026-09-01 23:32:20 UTC,GBP,ARS,2161.1436,2044.16
2026-09-01 23:32:20 UTC,CAD,ARS,1147.8711,1088.72
2026-09-01 23:35:40 UTC,EUR,ARS,1850.4024,1753.41
2026-09-01 23:35:40 UTC,USD,ARS,1596.0,1512.5
2026-09-01 23:35:40 UTC,GBP,ARS,2161.1436,2044.16
2026-09-01 23:35:40 UTC,CAD,ARS,1147.8711,1088.72
2026-09-01 23:41:01 UTC,EUR,ARS,1850.4024,1753.41
2026-09-01 23:41:01 UTC,USD,ARS,1596.0,1512.5
2026-09-01 23:41:01 UTC,GBP,ARS,2161.1436,2044.16
2026-09-01 23:41:01 UTC,CAD,ARS,1147.8711,1088.72
2026-09-02 17:46:41 UTC,EUR,ARS,1846.7316,1751.38
2026-09-02 17:46:41 UTC,USD,ARS,1596.0,1511.5
2026-09-02 17:46:41 UTC,GBP,ARS,2152.3656,2038.85
2026-09-02 17:46:41 UTC,CAD,ARS,1152.6794,1091.81
2026-09-02 20:23:03 UTC,EUR,ARS,1846.7316,1750.1
2026-09-02 20:23:03 UTC,USD,ARS,1596.0,1510.5
2026-09-02 20:23:03 UTC,GBP,ARS,2152.3656,2037.28
2026-09-02 20:23:03 UTC,CAD,ARS,1152.6794,1091.6
2026-09-02 23:45:32 UTC,EUR,ARS,1846.7316,1750.44
2026-09-02 23:45:32 UTC,USD,ARS,1596.0,1510.5
2026-09-02 23:45:32 UTC,GBP,ARS,2152.3656,2037.34
2026-09-02 23:45:32 UTC,CAD,ARS,1152.6794,1091.77
2026-09-03 02:26:08 UTC,EUR,ARS,1846.7316,1750.44
2026-09-03 02:26:08 UTC,USD,ARS,1596.0,1510.5
2026-09-03 02:26:08 UTC,GBP,ARS,2152.3656,2036.88
2026-09-03 02:26:08 UTC,CAD,ARS,1152.6794,1091.71
2026-09-03 08:27:41 UTC,EUR,ARS,1852.158,1752.71
2026-09-03 08:27:41 UTC,USD,ARS,1596.0,1510.5
2026-09-03 08:27:41 UTC,GBP,ARS,2153.6424,2039.45
